start_node,end_node,start_lon_deg,start_lat_deg,end_lon_deg,end_lat_deg,start_ground_elev_m,end_ground_elev_m,horizontal_distance_m,max_terrain_elev_m,max_terrain_lon_deg,max_terrain_lat_deg,cruise_altitude_m,start_work_altitude_m,end_work_altitude_m,climb_height_m,descent_height_m,model_id,payload_kg,climb_time_s,cruise_time_s,descent_time_s,total_time_s,equivalent_range_m,horizontal_energy_kwh,climb_energy_kwh,total_energy_kwh,energy_formula_status
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,C,0.0,58.142644042968755,203.59858956789998,44.52830505371094,306.26953866457967,26000.0,0.9396857980056922,0.03844126230541876,0.978127060311111,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,C,0.0,173.6416552734375,484.21195043710003,111.65206909179688,769.5056748023344,26000.0,2.234824386632769,0.11480393654922762,2.3496283231819968,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,C,0.0,123.17461425781251,318.9663234429087,42.018267822265614,484.1592055229868,26000.0,1.4721522620441938,0.08143743261063392,1.5535896946548278,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,C,0.0,177.6397021484375,400.6255314413527,48.649627685546875,626.914861275337,26000.0,1.8490409143447046,0.11744726265110997,1.9664881769958147,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,C,40.0,58.142644042968755,203.59858956789998,44.52830505371094,306.26953866457967,21050.25253169417,1.1606431187161474,0.06043912342439946,1.221082242140547,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,C,40.0,173.6416552734375,484.21195043710003,111.65206909179688,769.5056748023344,21050.25253169417,2.7603200467531663,0.18050003757882854,2.9408200843319947,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,C,40.0,123.17461425781251,318.9663234429087,42.018267822265614,484.1592055229868,21050.25253169417,1.8183135216795667,0.12803968303159755,1.9463532047111642,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,C,40.0,177.6397021484375,400.6255314413527,48.649627685546875,626.914861275337,21050.25253169417,2.2838236121195425,0.1846559966431615,2.468479608762704,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,C,76.0,58.142644042968755,203.59858956789998,44.52830505371094,306.26953866457967,13036.763521404078,1.8740717899833972,0.08023719843148207,1.9543089884148792,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,C,76.0,173.6416552734375,484.21195043710003,111.65206909179688,769.5056748023344,13036.763521404078,4.45704441574422,0.2396265285054694,4.696670944249689,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
